Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Standard-Sh;Standard-SoT;Standard-SoT%;Standard-Sh/90;Standard-SoT/90;Standard-G/Sh;Standard-G/SoT;Standard-Dist;Standard-FK;Performance-PK;Performance-PKatt;Expected-xG;Expected-npxG;Expected-npxG/Sh;Expected-G-xG;Expected-np:G-xG;Matches;
1;Max Aarons\Max-Aarons;eng ENG;DF;Norwich City;21-272;2000;7.0;0;7;1;14.3;1.00;0.14;0.00;0.00;22.7;0;0;0;0.2;0.2;0.03;-0.2;-0.2;Matches
2;Che Adams\Che-Adams;sct SCO;FWMF;Southampton;25-082;1996;4.2;0;7;3;42.9;1.66;0.71;0.00;0.00;17.4;0;0;0;0.6;0.6;0.08;-0.6;-0.6;Matches
3;Rayan Aït Nouri\Rayan-Ait-Nouri;fr FRA;FW;Wolves;20-119;2001;0.1;0;1;0;0.0;12.86;0.00;0.00;;20.6;0;0;0;0.0;0.0;0.03;0.0;0.0;Matches
4;Kristoffer Ajer\Kristoffer-Ajer;no NOR;DF;Brentford;23-169;1998;5.8;0;1;0;0.0;0.17;0.00;0.00;;9.9;0;0;0;0.1;0.1;0.08;-0.1;-0.1;Matches
5;Nathan Aké\Nathan-Ake;nl NED;DF;Manchester City;26-227;1995;2.0;0;1;0;0.0;0.50;0.00;0.00;;6.0;0;0;0;0.2;0.2;0.20;-0.2;-0.2;Matches
6;Marc Albrighton\Marc-Albrighton;eng ENG;MFFW;Leicester City;31-319;1989;2.0;1;1;1;100.0;0.50;0.50;1.00;1.00;17.2;0;0;0;0.0;0.0;0.04;+1.0;+1.0;Matches
7;Thiago Alcántara\Thiago-Alcantara;es ESP;MF;Liverpool;30-175;1991;2.0;0;5;1;20.0;2.54;0.51;0.00;0.00;18.0;0;0;0;0.4;0.4;0.08;-0.4;-0.4;Matches
8;Trent Alexander-Arnold\Trent-Alexander-Arnold;eng ENG;DF;Liverpool;22-361;1998;5.0;0;11;3;27.3;2.20;0.60;0.00;0.00;23.2;3;0;0;0.5;0.5;0.05;-0.5;-0.5;Matches
9;Alisson\Alisson;br BRA;GK;Liverpool;29-001;1992;6.0;0;0;0;;0.00;0.00;;;;0;0;0;0.0;0.0;;0.0;0.0;Matches
10;Allan\Allan;br BRA;MF;Everton;30-268;1991;6.8;0;1;1;100.0;0.15;0.15;0.00;0.00;20.9;0;0;0;0.0;0.0;0.02;0.0;0.0;Matches
