Rk;Player;Nation;Pos;Squad;Age;Born;90s;GA;PKA;Goals-FK;Goals-CK;Goals-OG;Expected-PSxG;Expected-PSxG/SoT;Expected-PSxG+/-;Expected-/90;Launched-Cmp;Launched-Att;Launched-Cmp%;Passes-Att;Passes-Thr;Passes-Launch%;Passes-AvgLen;Goal Kicks-Att;Goal Kicks-Launch%;Goal Kicks-AvgLen;Crosses-Opp;Crosses-Stp;Crosses-Stp%;Sweeper-#OPA;Sweeper-#OPA/90;Sweeper-AvgDist;Matches;
1;Oliver Baumann\Oliver-Baumann;de GER;GK;Hoffenheim;31-123;1990;7.0;11;0;0;0;0;10.4;0.37;+2.4;+0.40;33;87;37.9;229;42;30.1;32.0;43;41.9;36.2;52;5;9.6;10;1.67;15.1;Matches
2;Sascha Burchert\Sascha-Burchert;de GER;GK;Greuther Fürth;31-338;1989;6.0;16;1;0;3;2;11.8;0.34;-2.2;-0.37;51;127;40.2;169;23;55.6;45.3;43;76.7;56.3;52;2;3.8;7;1.17;16.8;Matches
3;Koen Casteels\Koen-Casteels;be BEL;GK;Wolfsburg;29-100;1992;7.0;8;1;0;1;0;8.4;0.28;+0.4;+0.06;50;95;52.6;255;23;28.2;32.1;47;48.9;42.7;47;4;8.5;8;1.14;17.3;Matches
4;Mark Flekken\Mark-Flekken;nl NED;GK;Freiburg;28-112;1993;7.0;5;0;0;0;1;7.6;0.29;+3.6;+0.51;64;163;39.3;226;30;49.6;44.3;66;77.3;64.9;62;5;8.1;6;0.86;16.7;Matches
5;Marius Funk\Marius-Funk;de GER;GK;Greuther Fürth;25-275;1996;1.0;3;0;0;1;0;3.5;0.43;+0.5;+0.47;14;31;45.2;26;2;84.6;61.6;10;90.0;68.5;12;1;8.3;3;3.00;18.9;Matches
6;Rafał Gikiewicz\Rafal-Gikiewicz;pl POL;GK;Augsburg;33-342;1987;7.0;13;2;0;0;2;11.0;0.30;0.0;0.00;49;130;37.7;176;29;46.0;40.2;62;79.0;58.7;51;5;9.8;6;0.86;14.0;Matches
7;Péter Gulácsi\Peter-Gulacsi;hu HUN;GK;RB Leipzig;31-150;1990;7.0;7;1;0;1;0;9.7;0.40;+2.7;+0.45;31;74;41.9;162;20;40.7;37.0;29;27.6;31.6;35;1;2.9;9;1.50;18.7;Matches
8;Timo Horn\Timo-Horn;de GER;GK;Köln;28-144;1993;7.0;9;0;0;2;1;10.5;0.41;+3.5;+0.58;46;75;61.3;184;18;33.2;34.7;39;35.9;37.3;46;3;6.5;7;1.17;16.2;Matches
9;Lukáš Hrádecký\Lukas-Hradecky;fi FIN;GK;Leverkusen;31-313;1989;6.0;7;1;1;0;0;10.2;0.30;+3.2;+0.53;45;111;40.5;200;35;39.5;36.6;49;65.3;52.2;44;2;4.5;7;1.17;16.4;Matches
10;Gregor Kobel\Gregor-Kobel;ch SUI;GK;Dortmund;23-301;1997;7.0;13;1;1;4;1;12.0;0.40;0.0;-0.01;27;68;39.7;210;26;25.7;30.1;35;40.0;34.8;45;5;11.1;8;1.14;16.0;Matches
11;Andreas Luthe\Andreas-Luthe;de GER;GK;Union Berlin;34-207;1987;6.0;8;0;0;0;1;6.6;0.29;-0.4;-0.06;35;97;36.1;150;31;44.7;39.1;43;69.8;49.8;44;3;6.8;5;0.83;14.5;Matches
12;Florian Müller\Florian-Muller;de GER;GK;Stuttgart;23-324;1997;7.0;13;1;1;1;0;9.0;0.24;-3.0;-0.50;29;58;50.0;143;26;34.3;32.0;45;20.0;26.6;52;3;5.8;5;0.83;13.5;Matches
13;Manuel Neuer\Manuel-Neuer;de GER;GK;Bayern Munich;35-190;1986;6.0;5;0;0;0;0;4.4;0.21;-0.6;-0.10;44;77;57.1;262;52;26.3;30.6;37;21.6;29.6;53;3;5.7;9;1.50;16.8;Matches
14;Stefan Ortega\Stefan-Ortega;de GER;GK;Arminia;28-331;1992;6.0;6;1;0;0;0;8.2;0.29;+2.2;+0.37;99;198;50.0;284;18;54.6;45.5;62;69.4;56.8;65;5;7.7;8;1.33;18.3;Matches
15;Manuel Riemann\Manuel-Riemann;de GER;GK;Bochum;33-024;1988;7.0;16;0;1;0;1;12.8;0.38;+0.8;+0.13;99;206;48.1;242;14;65.7;49.2;56;83.9;57.7;66;8;12.1;12;2.00;18.4;Matches
16;Alexander Schwolow\Alexander-Schwolow;de GER;GK;Hertha BSC;29-123;1992;7.0;20;2;1;3;0;16.5;0.43;-3.5;-0.50;43;106;40.6;168;42;36.3;34.8;68;66.2;51.1;85;2;2.4;4;0.57;13.5;Matches
17;Yann Sommer\Yann-Sommer;ch SUI;GK;M'Gladbach;32-290;1988;7.0;10;0;0;1;1;11.3;0.38;+2.3;+0.32;46;103;44.7;247;35;34.4;34.0;50;36.0;37.7;53;3;5.7;7;1.00;14.2;Matches
18;Kevin Trapp\Kevin-Trapp;de GER;GK;Eint Frankfurt;31-087;1990;6.0;9;0;0;1;0;6.8;0.35;-1.2;-0.24;35;85;41.2;150;19;44.7;36.1;29;62.1;49.8;36;1;2.8;7;1.40;18.5;Matches
19;Robin Zentner\Robin-Zentner;de GER;GK;Mainz 05;26-340;1994;6.0;3;0;0;0;0;5.9;0.35;+2.9;+0.48;26;87;29.9;134;30;43.3;37.8;51;56.9;51.7;56;5;8.9;9;1.50;16.6;Matches
